港澳台频道,#genre#
凤凰卫视中文台,http://223.105.252.60:80/PLTV/3/224/3221228527/indindex.m3u8?icpid=3&from=1&hms_devid=6882
凤凰卫视中文台,http://cdn3.1678520.xyz/live/live1.1.php?id=fhzw
凤凰卫视中文台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰卫视资讯台,http://cdn5.1678520.xyz/live/live2.1.php?id=fhzx
凤凰卫视资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰卫视资讯台,http://223.105.252.60:80/PLTV/3/224/3221228524/indindex.m3u8?icpid=3&from=1&hms_devid=6882
凤凰卫视资讯台,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx
凤凰卫视资讯台,http://223.105.252.60:80/PLTV/3/224/3221228524/indindex.m3u8?icpid=3&from=1&hms_devid=6882
凤凰卫视资讯台,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
凤凰卫视香港台,http://223.105.252.60:80/PLTV/3/224/3221228530/indindex.m3u8?icpid=3&from=1&hms_devid=6882
凤凰卫视香港台,http://203.205.220.194/qctv.fengshows.cn/live/0701phk72.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
无限翡翠台,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn
无限星河台,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe
千禧经典台,http://cdn9.1689.us.kg/smt3.1.1.php?id=Tvbclassic
澳门莲花卫视,http://2493103243.cloudvdn.com/1731188899.ts?domain=live-hls.macaulotustv.com&player=4HgAAGBHFEjBFgcY&streamid=lotustv%3Alotustv%2Fmacaulotustv&v3=1
重温经典台,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
TVBS新闻台,http://61.221.215.25:8800/hls/9/index.m3u8
AMC电影台,http://61.221.215.25:8800/hls/43/index.m3u8
LTV人间卫视,https://5ddce30eb4b55.streamlock.net/bltvhd/bltv1/playlist.m3u8
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
中天娱乐,http://61.221.215.25:8800/hls/47/index.m3u8
点掌财经,https://wsvideo.aniu.tv/live/aniu/playlist.m3u8
